subject,cv_basic_core_2d,cv_basic_core_2d_std,cv_basic_core_2d_f1,fold_1,fold_2,fold_3,fold_4,fold_5
01,0.9501,0.014,0.9501,0.9398,0.9624,0.9697,0.9318,0.947
02,0.9838,0.0086,0.9838,0.9853,0.9779,0.9926,0.9926,0.9706
03,0.9735,0.0136,0.9735,0.9706,0.9485,0.9853,0.9779,0.9853
04,0.9926,0.0047,0.9926,0.9926,0.9926,0.9853,1.0,0.9926
05,0.9985,0.0029,0.9985,1.0,1.0,1.0,0.9926,1.0
06,0.9925,0.0095,0.9925,0.985,0.9774,1.0,1.0,1.0
08,0.9955,0.006,0.9955,0.985,1.0,1.0,0.9925,1.0
09,0.997,0.0037,0.997,1.0,1.0,1.0,0.9925,0.9924
10,0.8449,0.0363,0.8441,0.8195,0.8271,0.9023,0.8045,0.8712
11,0.9895,0.0077,0.9895,0.985,0.9925,0.9774,1.0,0.9924
14,0.9819,0.006,0.9819,0.9699,0.985,0.9848,0.9848,0.9848
15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.994,0.0056,0.994,0.985,0.9925,1.0,0.9924,1.0
17,0.997,0.0037,0.997,1.0,0.9925,1.0,0.9924,1.0
18,0.9924,0.0048,0.9924,0.9925,1.0,0.9924,0.9924,0.9848
19,0.9939,0.0057,0.9939,1.0,1.0,0.9924,0.9848,0.9924
20,0.994,0.003,0.994,0.9925,0.9925,0.9924,0.9924,1.0
21,0.9955,0.0037,0.9955,1.0,0.9925,0.9924,0.9924,1.0
22,0.9894,0.0037,0.9894,0.985,0.985,0.9924,0.9924,0.9924
23,0.994,0.0056,0.994,0.985,1.0,0.9924,1.0,0.9924
24,0.9743,0.0141,0.9743,0.985,0.985,0.947,0.9773,0.9773
25,0.9834,0.0112,0.9833,0.9925,0.9925,0.9621,0.9848,0.9848
26,0.997,0.0037,0.997,0.9925,1.0,1.0,1.0,0.9924
27,0.9924,0.0048,0.9924,0.9925,0.9925,0.9924,0.9848,1.0
28,0.9849,0.0068,0.9849,0.9925,0.9774,0.9848,0.9773,0.9924
29,0.932,0.0208,0.9319,0.9173,0.9398,0.9015,0.9621,0.9394
30,0.994,0.003,0.994,0.9925,0.9925,1.0,0.9924,0.9924
31,0.9985,0.003,0.9985,1.0,1.0,1.0,1.0,0.9924
32,0.9925,0.0048,0.9925,0.9925,0.985,1.0,0.9924,0.9924
33,0.997,0.0037,0.997,1.0,0.9925,1.0,0.9924,1.0
34,0.9924,0.0048,0.9924,1.0,0.9925,0.9848,0.9924,0.9924
35,0.9909,0.0074,0.9909,1.0,0.9925,0.9773,0.9924,0.9924
36,0.9879,0.0132,0.9879,1.0,0.9925,0.9924,0.9621,0.9924
37,0.9955,0.006,0.9955,1.0,0.985,0.9924,1.0,1.0
